reading	names	selectionBasis
まき	万喜|万木|万貴|填|巻|巻木|慎|摩紀|末木|槇|槇木|槙|槙木|満喜|満木|牧|牧紀|眞|眞喜|眞城|眞己|眞期|眞木|眞紀|真喜|真城|真妃|真季|真希|真期|真木|真紀|真貴|萬喜|萬木|蒔|薪|薪木|間木|間箕|間紀|馬來|馬木|馬来|馬着|魔鬼|麻希|麻木|麻樹|麻生|麻紀|麻貴	existing-recording
こうの	光野|公野|冲野|功能|功野|向埜|向野|孔|孝野|川埜|川野|巷野|幸埜|幸野|広野|廣野|弘農|後野|曠野|江野|沖野|河埜|河野|洪野|湟野|狩野|甲埜|甲能|甲野|畊野|神埜|神野|糠野|紅野|耕納|耕野|興野|荒野|郷野|香乃|香埜|香野|高埜|高野|鴻埜|鴻濃|鴻農|鴻野|黄野|黌農	existing-recording
さいとう	佐井東|佐囲東|佐藤|再東|再藤|剤藤|妻藤|才藤|才頭|斉当|斉當|斉籐|斉藤|斎当|斎籐|斎籘|斎藤|歳桃|歳藤|済藤|濟籐|濟藤|犀藤|薺籐|薺藤|裁頭|西塔|西島|西東|西洞|西當|西籐|西藤|西頭|財藤|首藤|齊當|齊籐|齊藤|齋籐|齋藤|齎藤	existing-recording
みき	三喜|三城|三好|三岐|三帰|三木|三樹|三貴|三輝|三逵|三鬼|味喜|味木|実希|実樹|実浄|己城|巳城|幹|御喜|御木|未來|未来|未紀|神酒|美喜|美季|美希|美木|美樹|美紀|美記|美貴|美起|見喜|見城|見木|見機|造酒|酒造	existing-recording
すずき	周々木|周木|壽松木|寿々喜|寿々木|寿寿喜|寿寿木|寿州貴|寿数喜|寿木|寿松木|尻林|椙木|椙林|涼木|涼樹|薄|薄木|進木|進来|鈴々木|鈴城|鈴木|鈴来|鈴杵|鈴樹|鈴紀|鈴置|鈴記|鈴酒|鋤|錫|錫木|鐸木|雪|須々岐|須々木|須須木|高木|鱸	existing-recording
ごとう	五刀|五唐|五島|五嶋|五嶌|五斗|五東|五籐|五藤|五頭|伍島|伍嶋|伍東|伍藤|午頭|古藤|后藤|呉島|呉東|呉藤|後島|後嶋|後当|後東|後當|後登|後籐|後藤|悟道|梧桐|梧藤|権藤|牛島|神門|語堂	existing-recording
いとう	井島|井嶋|井戸入|井東|井登|井筒|井籐|井藤|井頭|以頭|伊島|伊東|伊栗|伊登|伊籐|伊藤|伊豆|伊達|位藤|位頭|依藤|夷藤|尹東|居藤|市東|意東|渭東|猪藤|猪頭|翫|藺藤|足立	existing-recording
さかい	佐加井|佐海|佐貝|坂|坂井|坂居|堺|堺井|境|境井|左海|左甲斐|左貝|栄|栄井|栄居|榮井|洒井|界|盛|蒟油|逆井|逆居|酒井|酒伊|酒匂|酒居|酒飯|阪井|阪居|限井	existing-recording
おがた	大形|大神田|小形|小方|小潟|小瀉|小片|小県|小縣|小肩|小賀田|尾刀|尾刃|尾形|尾方|尾潟|尾県|尾縣|尾賀田|押方|於方|生形|生方|男潟|緒形|緒方|織方|纓片|象形|雄賀多	existing-recording
かとう	下島|下藤|何東|加島|加嶋|加当|加東|加登|加籐|加統|加藤|可藤|嘉籐|嘉糖|嘉藤|歌藤|歌頭|河東|甲藤|花等|花藤|華藤|賀東|賀藤|賈島|迦統|香東|香藤|鹿糠|鹿頭	existing-recording
みなみ	三並|三波|三浪|三那三|南|南南南|南波|南海|南美|南農業|味波|己波|己浪|巳波|巳浪|沓水|皆実|皆已|皆巳|皆美|皆見|美並|美波|美浪|茉南|見並|見奈美|見波|見浪|陽	existing-recording
はたの	幡埜|幡多野|幡野|旗野|波多埜|波多野|波夛野|波田埜|波田野|泰野|畑埜|畑農|畑野|畠|畠埜|畠野|破田野|秦埜|秦野|端野|籏埜|籏野|羽多埜|羽多野|羽田埜|羽田野|葉多埜|葉多野|葉田野	existing-recording
はた	八太|八田|奏|幡|幡多|旗|機|波多|波夛|波田|泰|浪田|湊|漢|畑|畠|破田|硲|秦|端|籏|羽多|羽夛|羽太|羽田|葉多|葉田|覇田	existing-recording
よしもと	与志本|佳元|佳本|吉元|吉本|善元|善本|喜元|喜本|嘉本|四元|四本|好元|好本|由元|由本|美本|義元|義基|義始|義本|良元|良本|芳元|芳本|葭本|霊元	existing-recording
たなべ	一富|一富士|多名部|多奈部|多辺|多鍋|店部|棚辺|棚邉|棚邊|棚部|渡邉|田南部|田名辺|田名邊|田名部|田姓部|田辺|田邉|田邊|田那辺|田那邊|田那部|田部|田鍋|端	existing-recording
ささき	ささき|佐々城|佐々木|佐々生|佐々貴|佐佐木|佐咲|佐崎|佐左木|左|左々木|左崎|沙々木|笹|笹城|笹崎|笹木|笹気|笹氣|笹生|笹記|篠笥|雀|鷦|鷦鷯	existing-recording
よしだ	与四田|佳田|吉多|吉田|喜田|嘉田|好多|好田|慶田|源田|由多|由田|礒田|美田|義田|能田|良田|芦田|芳多|芳田|葭多|葭田|誉土太|誉士太|誉田	existing-recording
こじま	五島|伍嶋|児島|児嶋|児嶌|兒島|兒嶋|兒嶌|古島|古嶋|孤島|孤嶋|小島|小嶋|小嶌|尾嶋|巨島|巨嶋|戸島|戸嶋|故島|木島|木嶋|湖島	existing-recording
せき	世喜|世木|勢木|勢起|堰|尺|席|戚|昔|栫|汐|瀬喜|瀬木|石|碩|磧|積|籍|績|赤|錫|関|關	existing-recording
きむら	亀村|來村|北村|喜村|喜邑|嘉村|城村|季村|岐邨|帰村|木下|木村|木邑|木邨|木邸|来村|樹村|紀村|紀邑|記村|貴村|貴邑|鬼村	existing-recording
としま	冨島|冨嶋|利島|利嶋|十島|十嶋|外島|外嶋|富島|富嶋|年末|戸島|戸嶋|戸嶌|渡島|渡嶋|登島|登嶋|豊島|豊嶋|載間|都島|飛島	existing-recording
あべ	安保|安倍|安武|安辺|安邊|安部|安陪|晁|服部|河辺|猜|綾部|茶房|阿倍|阿武|阿辺|阿邉|阿邊|阿部|阿閉|阿陪	existing-recording
うすい	内水|宇吹|宇須井|有水|碓井|碓居|碓水|碓氷|確井|磨井|笛吹|簿井|臼井|臼射|臼居|臼意|薄|薄井|薄居|薄衣|雨水	existing-recording
おばた	乙幡|小亦|小俣|小八田|小圃|小幡|小旙|小畑|小畠|小端|小籏|尾幡|尾畑|尾畠|御幡|御畑|緒畑|織畠|苧畑|麻畑	existing-recording
たかぎ	來|喬木|堂城|聳城|邵城|都木|高來|高儀|高城|高木|高来|高榎|高樹|高義|高記|髙儀|髙木|鷹木|鷹来|鷹樹	existing-recording
なかの	中ノ|中之|中埜|中堅|中楚|中濃|中納|中農|中野|仲之|仲埜|仲堅|仲濃|仲野|冲野|名香野|坂野|奈加野|沖野|那加野	existing-recording
